Hmong,English
(Qhov nov tsis hloov kev tsis pub lub tsev tu cov nqi kom them rau tej yam thiab tej kev pab uas Medicaid tau them),(This does not affect the prohibition on facility charges for items and services for which Medicaid has paid)
* Tus qauv no yog muab raws li kev cuam tshuam txog kev noj qab haus huv suav nrog rau kev phom sij tsam muaj tus kab mob khees xaws thiab xav txog qhov es kim npaum cas rau cov dej tsoom fwv tso tuaj rau pej xeem xiv yog tias ntxiv nrog qhov es tua cov kab mob ntawm cov dej,* This standard is based on health effects including risk of cancer and takes into account the cost for a public water supply to add treatment
*1 milligram tauj ib liter (mg/L) yeej ntau ib yam li 1 feem thaum 1 million,1 milligram per liter (mg/L) is the same as 1 part per million
*Ib microgram tauj ib liter (?g/L) ntau ib yam li 1 feem tauj ib billion,*One microgram per liter (?g/L) is the same as 1 part per billion
�Active TB disease� yog lub caij thaum tus kab mob no loj hlob thiab sawv los txo koj lub cev,�Active TB disease� is when the TB germs �wake up� and start to grow and hurt your body
"�Kev Ua Phem� txhais tias yog kev coj ua uas sau qhia cia nyob rau Tshooj 626.5572, Theem 15, los sis qhov kev txhob txwm ua kom mob los si kom raug mob uas tsis yog kev kho, los sis kev coj ua must as li kom nyuaj siab nyuaj ntsws","�Maltreatment� means conduct described in Section 626.5572, Subdivision 15, or the intentional and nontherapeutic infliction of physical pain or injury, or any persistent course of conduct intended to produce mental or emotional distress"
"�Kev ua phem� yog kev coj ua uas tau qhia cia nyob rau Seem 626.5572, Nqe 15, los sis kev txhob txwm ua kom mob thiab sav ib ce uas tsis yog los ntawm kev kho,los sis ib qho kev coj ua mus tas li los ua kom muaj kev nyuab siab nyuab ntsws","�Maltreatment� means conduct described in section 626.5572, subdivision 15, or the intentional and nontherapeutic infliction of physical pain or injury, or any persistent course of conduct intended to produce mental or emotional distress"
"�Nix,� ib yam tshuaj zawv plaubhau uas muaj muag raws OTC uas muaj cov tshuaj permethrin nyob rau hauv, yog ib hom tshuaj tua kab","�Nix,� a cream rinse product available OTC which contains permethrin, a synthetic insecticide"
"�Ovide,� ib hom tshuaj yuav raws daim ntawv sau yuav tshuaj uas muaj cov tshuaj malathion","�Ovide,� a prescription drug containing malathion"
�Ricin� yog ib hom tshuaj muaj taug xwb,Ricin is a type of poison
"�Tus neeg mob� tseem txhais tau tias yog ib tug me nyuam yaus uas tuaj nyob rau lawv kho thiab lawv tu, raws li txhais rau hauv Seem 7, Minnesota Cov Cai Thaum 1986, Tshooj 326","�Patient� also means a minor who is admitted to a residential program as defined in Section 7, Laws of Minnesota 1986, Chapter 326"
1% ntawm cov tibneeg raug tus kab mob no thiaj li yuav huam mob hlwb o lossis cov tsig nqaij nyob ib puag ncig ntawm lub hlwb mob liab thiab o,Less than 1% of people who are infected may develop encephalitis or meningitis (inflammation of the brain or surrounding tissues)
1. Cov Lus Qhia Txog Txoj Cai,1. Information about Rights
10% ntawm cov neeg mob puas leeg xa xov hauv cev kuj tuag,About 10% of those with severe nervous system illness will die
10. Kev Tshawb Nrhiav Kawm,10. Experimental Research
11. Nyob Ywj Siab Tsis Muaj Kev Tsim Txom,11. Freedom from Maltreatment
12. Tsis Pub Leej Twg Paub Txog Txoj Kev Kho Mob,12. Treatment Privacy
13. Tsis Pub Leej Twg Paub Tej Ntaub Ntawv Kho Mob,13. Confidentiality of Records
14. Qhia Saib Txoj Kev Tu Neeg Muaj Li Cas,14. Disclosure of Services Available
144.651 Cov neeg mob thiab cov neeg nyob hauv chaw kho mob; cov cai,144.651 Patients and residents of health care facilities; bill of rights
15. Teb Tej Lus Nug,15. Responsive Service
16. Ntiag Tug Ntawm Koj Tus Kheej,16. Personal Privacy
17. Lus Tsis Txaus Siab,17. Grievances
18. Lus Sib Tham Ntawm Yus Tus Kheej,18. Communication Privacy
19. Yam Khoom Uas Yog Yus Tug,19. Personal Property
2. Tu Kom Zoo Thiab Saib Rau Nqi,2. Courteous Treatment
20. Ua Hauj Lwm rau Lub Chaw,20. Services for the Facility
21. Txoj Kev Pab thiab Tiv Thaiv,21. Protection and Advocacy Services
22 tus neeg tau kis cov tshuaj no thiab 5 tug neeg tau tuag lawm,Twenty-two persons were diagnosed with anthrax and five persons died
22. Txoj Cai Yuav Tsum Cia Lwm Leej Neeg Nrog Tau Tus Neeg Mob Sib Tham,22. Right to Communication Disclosure and Right to Associate
23. Cais Nyob Ib Leeg thiab Pav Lub Cev,23. Isolation and Restraints
24. Npaj Txoj Kev Kho Mob,24. Treatment Plan
3. Tu Thiab Kho Tus Neeg Raws Li Nws Tus Mob,3. Appropriate Health Care
4. Paub Txog Tus Kws Kho Mob,4. Physician�s Identity
5. Kev Sib Cuag Nrog Lwm Qhov Chaw Kho Mob,5. Relationship with Other Health Services
6. Ntaub Ntawv Qhia Txoj Kev Kho Mob,6. Information about Treatment
7. Koom Tes Npaj Nrog Txoj Kev Kho Mob,7. Participation in Planning Treatment
8. Kev Saib Xyuas thiab Kev Tu Lawv Yav Tom Ntej,8. Continuity of Care
9. Txoj Cai Tsis Pub Kom Lawv Kho,9. Right to Refuse Care
Anthrax muaj tus yam ntxwv raws li chaw ua haujlwm hauv U.S. Centers for Disease Control thiab Prevention (CDC) kev nrhiav tsam siv los ua riam phom los ua rog(bioterrorism weapons): Txawm tias kis tsis tau ib tug rau ib tug los nws yog ib yam uas kis tau yooj yim,"Anthrax has several of the traits that the U.S. Centers for Disease Control and Prevention (CDC) uses to identify possible bioterrorism weapons: Even though it can�t be passed from person to person, it�s still easy to spread"
Anthrax yog dabtsi?,What is anthrax?
Anthrax yog ib yam kab mob tshwm sim los ntawm tej phaj nyaj,Anthrax is a disease caused by a kind of bacteria
b hom mob khaub thuas ua rau pob tsaig thiab plhu o,mumps
BCG tiv thaiv me nyuam yaus kom txhob raug tej hom TB uas mob hnyav tiamsis tsuas kav ob peb xyoo xwb,BCG protects children from severe forms of TB but only for a few years
BCG tiv thaiv tsis tau koj txhua zaus kom txhob mob TB,BCG does not always protect you from TB
BCG tsis ua kom koi sim tshaug os,BCG does not always cause a positive Mantoux skin test
Botulism yog dabtsi?,What is botulism?
"Botulism yog is yam kab mob uas hnav heev, uas ua rau yus tuag tau los ntawm ib yam tshuaj lom","Botulism is a serious, potentially fatal illness caused by a type of poison"
Brucellosis yog dabtsi?,What is brucellosis?
"Brucellosis yog ib hom kab mob tshwm sim los ntawm tej phaj nyaj, cov phaj nyaj no ua rau cov tsiaj xws li nram no mob�mes es, tshis, nyuj, mos lwj, mos lwj loj (elk), npua, thiab aub","Brucellosis is a disease, caused by bacteria, which affects many different kinds of animals � including sheep, goats, cattle, deer, elk, pigs, and dogs"
butter thiab lwm yam,Dairy products
Cab,Parasite
cab,worm
Cab nqe lauj,Hookworm
cab plab,tapeworm
cab pluav,tapeworm
Cai Koom Cuam Tshuam,Right to Associate
Cai lij choj,Law
Cai tswj cov kev txais nkag,Admissions policy
cais mis,wean
Cais rau ib qho,Seclusion
caj dab,neck
Caj dab nruj nreem,Stiff neck
caj dab taws,ankle
caj dab tes,wrist
"caj npab, ceg, tes taw",limbs
caj pas,throat
caj qwb,back of (nape)
cam tuav rau qhov lov kom txha sib txuas,cast
Cas thiaj pheej tshawb nrhiav kev sib kis tus kab mob TB?,What is a TB contact investigation?
caws pliav,scar
caws yaum,tingling
cawv,alcohol
CDC: Tshooj Ntaub Ntawv Qhia Txog Kab Mob Kev Ua Pa Nyob Rau Ib Lim Tiam,CDC: Respiratory Virus Data Channel Weekly Snapshot
ceeb,frighten
"ceeb ntshai, poob plig",traumatized
Ceeb toom,Warning
Ceeb toom kom paub txog qhov nplua,Penalty Warning
Ceeb toom qhia rau koj tus me nyuam tus kws muab kev pab cuam kho mob ib txwm thiab Minnesota Department of Health (Minnesota Lub Tuam Tsev Hauj Lwm ntsig txog Kev Noj Qab Haus Huv) hais txog koj tus me nyuam cov theem kev hnov lus,Inform your child�s primary care provider and the Minnesota Department of Health about your child�s hearing levels.
"ceeb toom ua ntej yuav hloov chaw. Ua ntej ib lub tsev tu hloov chaw rau los sis tso tawmib tug neeg mob, lub tsev tu yuav tsum---","Notice before transfer. Before a facility transfers or discharges a resident, the facility must�"
ceev ceev,tightness
Ceev kom tej yam ua kom muaj cov tshuaj ntsev nitrate kom deb ntawm koj lub qhov dej khawb,Keep nitrate sources away from your well
ceev lus tsis pub hais tawm,confidential
Ceev rau ib qho,Restraint
Ceev tuav qhov pov thawj qhia txog seb xyuas tau li cas rau cov kev tsis haum siab musk om txhob luv 3 xyoos tom qab uas tau tawm daim ntawv txiav txim kev tsis haum siab,Maintaining evidence demonstrating the results of all grievances for a period of no less than 3 years from the issuance of the grievance decision
Ceevfaj tsis txhob pub txhuam dabtsi lossis muab khawb,Be careful not to rub it or scratch it
ceg puab tais,crotch
ceg tawv,crippled
ceg tawv,limp
"Ces cov mob no yuav rov qab mob tuaj, ua rau yus mob ntsws, ua pa tsis tau, thiab ib ce tuag tag","Then the illness can come back, resulting in severe lung problems, difficulty breathing, and shock"
Ces lawv mam li tso cov tshuaj no rau saum cua kom siv tau los ua rau neeg mob,Then they can be released into the air and used to infect people
"Ces tshooj ntxiv cov tswv yim tiv thaiv (xws li looj ntaub npog qhov ncauj qhov ntswg, nyob sib nrug kom deb, thiab mus kuaj mob) rau 5 hnub tom ntej","Then layer on added prevention strategies (such as masks, distancing, and tests) for the�next 5 days"
Ces tus neeg ntawd yuav tuag sai vim tej yam tseem ceeb hauv lub cev raug puas tsuaj tas lawm,"Death follows quickly, from failure of major organs in the body"
cev tsis ntas ntxiv lawm,hot flashes
cev xeeb tub lossis muaj menyuam lawm,pregnant
chav cais,isolated room
chav da dej,bathroom
chav ntsuam xyuas mob,exam room
"Chav nyob rau tus kheej tib leeg, thaum tsis kom muaj rau kev tu kho (piv txwv, kev cais tawm kom txhob kis mob)","Private room, except when therapeutically required (for example, isolation for infection control)"
chav rau cov poj niam uas yug menyuam tas lawm pw,maternity ward
chav tos qhua,waiting room
chav yug menyuam,delivery room
Chaw (tsev) hais plaub ntug,Court house
Chaw dai ntim khoom tus kheej nyob rau txhua tus neeg mob chav nyob;,Private closet space in each resident room;
Chaw kho mob,Medical provider
Chaw kuaj mob,Clinic
chaw mos,genitalia
Chaw nyob,Address
Chaw Nyob Nyab Xeeb,Safe Environment
chaw pab nyiaj txiag rau cov neeg txom nyem,welfare
Chaw pab zov me nyuam,Child Care Center
chaw tawm rooj (tso quav/zis),toilet
chaw tso ntshav/ soj ntsuam kab mob,laboratory
"Cheeb tsam 18 rau 24 xuab moos ces yuav xeev siab, raw plab, mob tob hau thiab mob ib ce","Nausea, diarrhea, and aches and pains will follow within 18 to 24 hours"
cheeb tsam ntawm puab tais,inguinal region
Cheeb Tsam Tsev Kawm Hauv Zej Zog,Local School District
cheese,Dairy products
chim,angry
chiv mob,onset
chob,prick
Cia li lam yuag yam tsis tau yoo zaub mov,Unintentional weight loss
Cia peb los pib,Let�s get started
Cog lus muaj tseeb,Certify
Coj,Lead
coj kev,Lead
coj khaub ncaws tsis paub tu,menorrhagia
coj khaub ncaws tsis raws sij hawm,amenorrhea
Coj koj tus me nyuam mus ntsuam xyuas,Have your child evaluated
coj yog/ua yog,Disciplinary action (could result in)
"Cos tsos mob ntawm COVID-19 muaj xws li ua npaws, hnoos, ua pa txog siav, ib ce no tshee, mob taub hau, mob tej nqaij leeg, txhaws ntswg lossis los ntswg, mob qa, qaug zog nkees, lossis saj tsis hnov qab thiab tsis hnov ntxhiab tsw lawm","Symptoms of COVID-19 can include fever, cough, shortness of breath, chills, headache, muscle pain, congestion or runny nose, sore throat, fatigue, or loss of taste or smell"
Cov �Ricin� hais no yuav txov tau neeg txoj sia yog muab tso rau cov khoom noj lossis dej haus,Ricin can be used to poison people by putting it in food or water
Cov �ricin� no neeg yeej tsis noj yuam kev yooj yim,It's very unlikely that anyone would ever be poisoned with ricin by accident
"Cov �ricin� no yeej tsis tau raug muab coj los siv lom neeg, thiab tsis tau paub tseeb tias ua puas tau muaj tus muab cov tshuaj �ricin� no tso tawm ntau rau saum huab cua","Ricin has never been used as a weapon of mass destruction, and it isn�t clear whether a big release of ricin into the air is actually possible"
Cov Cai Kho Mob rau Neeg Mob nyob Tsev Tu Kho Muaj Kev Saib Xyuas,Health Care Bill of Rights for Residents of Supervised Living Facilities
Cov cai lij choj tiv thaiv tib neeg txoj cai,Civil Rights Laws
Cov cai no muaj nyob rau Tsoom Fwv thiab Xeev txoj cai thiab siv rau cov neeb nyob cov tsev muaj npe tu nyob rau Medicaid thiab Medicare cov kev pab,These rights exist under Federal and State law and apply to residents of facilities certified under the Medicaid or Medicare programs
Cov cai no sau qhia ua tus ntawv qaij,These rights are presented in italics
Cov cai taw qhia tej zaum yuav txawv vim tias cov pawg neeg no muaj cov uas muaj feem siab yuav mob tau hnyav heev,Guidance may also be different because these populations have many people who are at high risk for severe illness
Cov cai thiab cov luag hauj lwm,Rights and Responsabilities
Cov cai tswj,Rules
Cov chaw kho mob lossis cov kws kho cov neeg mob Ebola mas muaj qhov yuav kis tau zoo heev vim lawv yuav tau chwv tej ntshav lossis tej dej ntawm tus neeg mob lub cev.,Health care providers or family members caring for Ebola patients are at highest risk because they may come into contact with blood or body fluids.
Cov chaw kho tu uas tsis muaj ib qho chaw tsis muaj lwm tus los txuam yuav tau xyuas kom muaj chaw uas cov neeg mob hu tham xov tooj uas tsis muaj tus nyiag mloog tau,Facilities which are unable to provide a private area shall make reasonable arrangements to accommodate the privacy of residents� calls
Cov chaw muab kev pab koom hauj lwm ua ke,Provider Network
Cov chaw nov yeej txo tau kom cov PFAS kom qis es yog tso tshuaj tua los yog txo qhov es nqus cov dej tawm hauv cov qhov dej khawb es tsis huv tawm los,These systems can lower PFAS levels through treatment or reduced pumping from contaminated wells
cov chaw ntsuam xyuas kab mob,testing locations
Cov chaw phais uas tsis yog pw kho mob nrog rau seem 144.691 thiab ua raws li cov koom haum saib xyuas kev kho mob hauv Seem 62D.11 mas pom tias ua raws li qhov yuav tsum tau muaj ib daim ntawv uas sau tus txheej txheem daws kev tsis txaus siab uas siv rau hauv lub chaw,Compliance by outpatient surgery centers with section 144.691 and compliance by health maintenance organizations with section 62D.11 is deemed to be compliance with the requirement for a written internal grievance procedure
"Cov chaw rau coob pawg neeg nyob thiab txais kev saib xyuas, xws li lub chaw rau cov neeg tsis muaj tsev nyob lossis cov nkuaj neeg raug txim, qhia mus tau rau�Nkuaj Neeg Raug Txim, Cov Chaw Kaw Neeg Tsis Tau Txiav Txim, & Cov Chaw Pab Rau Cov Neeg Tsis Muaj Tsev Nyob: COVID-19�rau cov peev txheej ntxiv","Group living and care facilities, such as a homeless shelter or correctional facility, can refer to�Prisons, Detention Centers, & Homeless Service Sites: COVID-19�for more resources"
"Cov chaw siv dej es tsis yog tso los ntawm tsoom fwv hu ua Noncommunity water systems es tso rau cov lab as ham, cov chaw neeg tuaj pw so, thiab cov chaw pw uasi pem hav zoov mas tsis kom lawv yuav tsum tau kuaj seb puas muaj khes mis arsenic","Noncommunity water systems serving restaurants, resorts, and campgrounds are not required to test for arsenic"
"Cov chaw siv dej es tsis yog tso los ntawm tsoom fwv hu ua Noncommunity water systems tso dej rau cov tsev kawm ntawv, cov hoob kas ua hauj lwm, cov tuam txhab ua hauj lwm, thiab cov tsev zov menyuam yuav tsum kuaj seb puas muaj khes mis arsenic","Noncommunity water systems serving schools, offices, factories, and childcare facilities test for arsenic"
Cov chaw tshwj xeeb,Special settings
Cov chaw tso cov dej nov tuaj raus tes kom txo tau cov khes mis arsenic yog tias cov khes mis nov muaj siab tshaj tus qauv es tau teev tseg,These systems take action to reduce arsenic if levels exceed the standard
Cov chaw tso dej rau ib zej tsoom siv hauv lub xeev Minnesota thiab MDH kuaj cov dej tas mus li seb puas muaj tus kab mob coliform bacteria hauv cov dej tso tuaj rau ib zej tsoom siv thiab sib koom tes ua hauj lwm ua ke kom daws tau qhov teeb meem thaum kuaj tau tias muaj muaj tus kab mob coliform bacteria,Minnesota's public water systems and MDH regularly test for coliform bacteria in public water systems and work together to correct problems if water tests positive for coliform bacteria
Cov chaw tso dej tuaj rau cov pej xeem haus es muaj PFAS siab yeej raus tes kom txo tau kom cov PFAS kom qis,Community water systems with elevated PFAS can take actions to reduce PFAS levels
Cov chaw tu kho yuav tsum rau siab los pab cov neeg mob kom tau lus qhia paub seb Medicare los sis Medical Assistance puas them rau ib qho los sis tag nrho cov kev pab tau hais los no,Facilities shall make every effort to assist residents in obtaining information regarding whether the Medicare or medical assistance program will pay for any or all of the aforementioned services
Cov chaw tu neeg uas tsis muaj tej chav li ntawd mas yuav tsum nrhiav kom tau ib chav sib tham kom zoo npaum yuav zoo tau rau tus neeg mob kom nws tham tau yam uas tsis muaj leej twg hnov,Facilities which are unable to provide a private area shall make reasonable arrangements to accommodate the privacy of patients� calls
"Cov cuab yeej siv tua kab mob hauv cov dej hauv tsev, xws li ion exchange, water softeners, thiab reverse osmosis systems, yeej txo tau qhov es muaj cov radionuclides no kom qis (saib Tua Kab Mob hauv cov dej hauv tsev)","Home water treatment systems, such as ion exchange, water softeners, and reverse osmosis systems, can reduce the levels of some radionuclides in your water (see Home Water Treatment)"
Cov cuab yeej tua cov kab mob ntawm cov dej siv hauv lub tsev kuj yog ib qho kev xaiv ua tau thiab,Consider installing a home water treatment system
Cov dej es tsoom fwv tso tuaj rau koj (qhov chaw tso dej rau koj ntawm thaj chaw koj nyob) kuaj seb puas muaj redionuclides thiab kom paub tseeb tias qhov es muaj nov yuav tsum nyob rau tus qauv ntawm EPA,Community public water systems (systems serving where you live) test for radionuclides and ensure levels meet EPA standards
Cov dej haus es puaj phais mas tsis muaj tus kab mob E. coli los yog lwm cov kab mob pathogens nyob rau hauv,Safe drinking water does not have E. coli or other pathogens in it
Cov dej haus muaj PFAS siab npaum cas thiaj li puaj phais rau haus?,What level of PFAS in drinking water is safe?
Cov Dej Num Pab lub Chaw Tu Kho,Services for the Facility
cov dej tiv thaiv tus menyuam hauv plab,amniotic fluid
"Cov dej tso ntawm tsoom fwv los rau ib zej tsoom siv tej zaum kuj kuaj xyuas seb puas muaj cov txhuas tooj hlau Manganese, tabsis lawv tsis tas kuaj los tau","Public water systems may test their water for manganese, but they are not required to"
Cov fai fab radiation es tsim tawm los ntawm thas mab xaj los yog los ntawm tib neeg yeej nyob ib puag ncig ntawm koj txhua txhua hnub,Natural and human-made radiation surround you every day
cov hlab ntsha hauv lub hlwb,cerebrovascular
cov hlab ntsha me me uas ncau mus xaus rau tej nqaij,capillary
cov hlab ntsha ntawm daim npluag qhwv lub ntsiab muag plam lawm,retinal detachment
Cov hmoov Uranium ntawm qhov chaw tso dej los rau lub zej zog siv,Uranium in community water systems
Cov hnoos qeev los ntawm koj lub ntsws feem ntau yog yuav tuab thiab nplaum,Sputum from your lungs is usually thick and sticky
"Cov hom khoom thiam yam piv txwv ntawm cov khoom uas lub tsev tu muaj cai rub rau tus neeg mob cov nyiaj them yog tias nws kom muab, yog tsis tau kom muaj es thiaj tu kho tau zoo nyob rau tus neeg mob ntaub ntawv npaj kho, yog lub tsev tu yeej qhia tus neeg mob tias yuav tau them, thiab yog Medicaid los sis Medicare tsis them","General categories and examples of items and services that the facility may charge to residents� funds if they are requested by a resident, if they are not required to achieve the goals stated in the resident�s care plan, if the facility informs the resident that there will be a charge, and if payment is not made by Medicare or Medicaid"
Cov hom phiaj kev npaj tu txhij txhua,"Comprehensive care plan goals,"
Cov huab cua huv: Tej yam xws li qhib qhov rai lossis yog muaj kev sib sau ces ua rau nraum zoov yuav pab txo tau kab mob kom qis nyob hauv cov huab cua,Cleaner air: Actions like opening windows or holding gatherings outside help to decrease the amount of virus in the air
Cov kab lus hauv qab no muaj ntaub ntawv taw qhia cov koom haus rau lawv cov kev txiav txim:,The links below provide helpful information which can help guide organizations in their decision-making:
Cov kab me me no (ntev li 1/8�) ua lawv lub tsev nyob rau ntawm tibneeg cov plaub hau thiab nqus lawv cov ntshav,These tiny insects (about 1/8� long) make their home in human hair and feed on blood
"Cov kab mob bacteria nyob txhua qhov chaw ntawm ib puag ncig, suav nrog saum npoo dej thiab cov dej hauv av ntawm lub xeev Minnesota","Bacteria are everywhere in our environment, including Minnesota's surface waters and groundwater"
Cov kab mob Brucellosis no ua tau rau kom neeg mob�es ua tsis taus dabtsi�mus kom ntev heev,Brucellosis can make people sick � and keep them from normal activity � for a long time
Cov kab mob los ntawm RWIs yog dabtsi?,What are possible causes of RWIs?
Cov kab mob no tom yus lub nruab cev ob peb qho t txhij,These diseases affect several of the body�s organ systems at the same time
Cov kab mob no yuav tsim kev puas tsuaj rau koj cov khoom hauv lub nrog cev,They are damaging tissue in your body
Cov kab mob ntawm kev ua pa yog sib kis ntawm ib tug neeg mus rau ib tug neeg,Respiratory viruses are spread from person to person
Cov kab mob Pathogens es los ntawm tej yam nov yeej nkag tau mus rau peb cov dej haus,Pathogens from these sources can get into our drinking water
Cov kab mob Plague uas dim rau saum tej cua nyob tsis tau ntev tshaj 1 teev,Plague bacteria released into the air will survive less than one hour
cov kab mob sib kis thaum nrog lwm tus neeg pw,sexually transmitted infection (STI)
Cov kab mob TB huam ('tsim los') thiab kis rau lwm tus tau,TB germs are active (�awake�) and spreading
Cov kab mob TB no ua tsis tau li cas rau koj tamsim no,The TB germs are not hurting you now
Cov kab mob TB no yeej �tsaug zog� yog tias koj lub cev kov yeej lawv,The TB germs will �sleep� as long as your body can fight them off
Cov kab mob TB no yuav nyob twj ywm ('tsis huam mob') hauv koj lub cev,TB germs are dormant (�asleep�) in your body
Cov kab mob TB ntawd �pw tsaug zog� hauv koj lub cev,TB germs are �asleep� in your body
Cov kab mob TB ntawd ua haujlwm thiab kis loj tuaj,TB germs are active and spreading
"Cov kab mob tom cov hlab ntsa, thiab cuam tshuam tsis pub lub cev pab tau nws tus kheej","They damage the blood vessels, and interfere with the body's ability to regulate itself"
Cov kab TB muaj ob theem:,TB germs have two phases:
"Cov kab TB tsaug zog tau ntau lub xyoo lawm los yeej txawj huam (tsim) tuaj yog vim muaj lwm yam txawv txav rau ntawm tib neeg lub cev ua rau cov kab mob txawj huam thiab tsim tuaj, xws li yog thaum lub cev laus tuaj, haus luam yeeb, noj tej yam tshuaj (xws li prednisone), los yog muaj lwm yam kab mob nyob nrog lub cev xws li yog ntshav qab zib los yog mob raum","TB germs can stay sleeping for many years and become active (awake) because other conditions weaken the person�s body, such as aging, smoking, taking certain medications (like prednisone), or the presence of another health condition like diabetes or kidney disease"
"Cov kab zuam ceg dub me me xwb, cov hlob tiav lawm tsuas loj li noob hnav (sesame) thiab cov menyuam kab zuam ceg dub tsuas loj li noob yeeb",Blacklegged ticks are small; adults are about the size of a sesame seed and nymphs (young ticks) are about the size of a poppy seed
Cov kab zuam ceg dub nrhiav ib tus los tom nyob ze hauv av ces mam txhos nkaus tom ib tus neeg lossis tsiaj twg uas dhau kev mus,The ticks search for hosts at or near ground level and grab onto a person or animal as they walk by
Cov kab zuam ceg dub nyob rau pem teb ntawm tej ntoo lossis tej chaw nroj tshuag fab fab,Blacklegged ticks live on the ground in areas that are wooded or have lots of brush
Cov kab zuam ceg dub pom nyob rau tej chaw uas muaj pob ntoos hauv Minnesota,The blacklegged tick can be found in many wooded areas of Minnesota
"Cov kab zuam tsis txawj dhia, ya, lossis poob los ntawm tej ntoo","Ticks do not jump, fly, or fall from trees"
Cov kauj ruam koj ua tau,Steps you can take
"Cov kauj ruam tseem ceeb koj ua tau los mus tiv thaiv koj tus kheej thiab lwm tus neeg ntawm cov kab mob xws li COVID-19, mob khaub thuas (flu) thiab mob RSV:","Important steps you can take to protect yourself and others from viruses like COVID-19, flu, and RSV:"
cov kauj ruam uas yus yuav tsum tau ua yog kis tau kab mob 19,COVID-19 care plan
Cov kauj ruam yuav ua hauv lwm lub xyoo los ua kom lav tau txog koj tus me nyuam txoj kev loj hlob,Steps to take in the next year to ensure your child�s development
Cov keeb ntshav liab muaj tsawg,Low number of platelets in the blood
cov keeb tshuaj roj ntsha nyob hauv tus txiav pab tswj ntshav qab zib,hormone
